Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts,Category
45050694,2019-12-01T01:53:46.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,10472,1153 WHEELER AVENUE,WHEELER AVENUE,WATSON AVENUE,WESTCHESTER AVENUE,WATSON AVENUE,WESTCHESTER AVENUE,,BRONX,WHEELER AVENUE,,In Progress,,,,09 BRONX,2037380057,BRONX,1017507,240695,PHONE,Unspecified,BRONX,,,,,,,,40.827265063323395,-73.87983079,"{'longitude': '-73.87983078926109', 'latitude': '40.827265063323395', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45053717,2019-12-01T01:53:38.000,,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10030,115 WEST  137 STREET,WEST  137 STREET,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,,NEW YORK,WEST  137 STREET,,In Progress,,,,10 MANHATTAN,1020060022,MANHATTAN,1000680,236472,PHONE,Unspecified,MANHATTAN,,,,,,,,40.81572145450082,-73.94064296,"{'longitude': '-73.94064295645731', 'latitude': '40.81572145450082', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45050451,2019-12-01T01:52:59.000,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10314,36 BOWLING GREEN PLACE,BOWLING GREEN PLACE,ROCKVILLE AVENUE,MULBERRY AVENUE,ROCKVILLE AVENUE,MULBERRY AVENUE,,STATEN ISLAND,BOWLING GREEN PLACE,,In Progress,,,,02 STATEN ISLAND,5021160060,STATEN ISLAND,938225,156167,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.59519906383614,-74.16572653,"{'longitude': '-74.16572653412616', 'latitude': '40.59519906383614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45049052,2019-12-01T01:52:51.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11219,1465 61 STREET,61 STREET,NEW UTRECHT AVENUE,15 AVENUE,NEW UTRECHT AVENUE,15 AVENUE,,BROOKLYN,61 STREET,,In Progress,,,,12 BROOKLYN,3057200054,BROOKLYN,985518,167355,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.62602724,-73.99543209,"{'longitude': '-73.99543208726179', 'latitude': '40.626027235388', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45051292,2019-12-01T01:52:50.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11368,34-70 107 STREET,107 STREET,34 AVENUE,37 AVENUE,34 AVENUE,37 AVENUE,,CORONA,107 STREET,,In Progress,,,,03 QUEENS,4017480144,QUEENS,1022661,214268,ONLINE,Unspecified,QUEENS,,,,,,,,40.75470924703071,-73.86135874,"{'longitude': '-73.86135874094896', 'latitude': '40.75470924703071', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45052250,2019-12-01T01:52:50.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11372,37-13 85 STREET,85 STREET,37 AVENUE,FORLEY STREET,37 AVENUE,FORLEY STREET,,JACKSON HEIGHTS,85 STREET,,In Progress,,,,03 QUEENS,4014730071,QUEENS,1017106,212378,MOBILE,Unspecified,QUEENS,,,,,,,,40.74954406701735,-73.88141825,"{'longitude': '-73.88141825228973', 'latitude': '40.74954406701735', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45054413,2019-12-01T01:52:31.000,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10027,1420 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST  130 STREET,WEST  131 STREET,WEST  130 STREET,WEST  131 STREET,,NEW YORK,AMSTERDAM AVENUE,,In Progress,,,,09 MANHATTAN,1019840001,MANHATTAN,996872,236555,PHONE,Unspecified,MANHATTAN,,,,,,,,40.81595552782531,-73.95440005,"{'longitude': '-73.95440004776522', 'latitude': '40.81595552782531', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45052770,2019-12-01T01:51:43.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,130 STREET,130 STREET,130 STREET,OLD SOUTH ROAD,130 STREET,OLD SOUTH ROAD,,,,,In Progress,,,,10 QUEENS,,QUEENS,1036611,181272,PHONE,Unspecified,QUEENS,,,,,,,,40.66407166188916,-73.81126413,"{'longitude': '-73.81126413278163', 'latitude': '40.66407166188916', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45052816,2019-12-01T01:51:33.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11357,9-11 151 PLACE,151 PLACE,9 AVENUE,10 AVENUE,9 AVENUE,10 AVENUE,,WHITESTONE,151 PLACE,,In Progress,,,,07 QUEENS,4045250015,QUEENS,1036412,228555,MOBILE,Unspecified,QUEENS,,,,,,,,40.79385279685731,-73.8116149,"{'longitude': '-73.81161490061255', 'latitude': '40.79385279685731', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45050673,2019-12-01T01:51:29.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10458,2670 BAINBRIDGE AVENUE,BAINBRIDGE AVENUE,EAST  194 STREET,EAST  196 STREET,EAST  194 STREET,EAST  196 STREET,,BRONX,BAINBRIDGE AVENUE,,In Progress,,,,07 BRONX,2032870031,BRONX,1014268,254610,PHONE,Unspecified,BRONX,,,,,,,,40.86546921715945,-73.89147213,"{'longitude': '-73.89147212650845', 'latitude': '40.86546921715945', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45051502,2019-12-01T01:50:52.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11372,84-10 34 AVENUE,34 AVENUE,84 STREET,85 STREET,84 STREET,85 STREET,,JACKSON HEIGHTS,34 AVENUE,,In Progress,,,,03 QUEENS,4014450001,QUEENS,1016674,213979,ONLINE,Unspecified,QUEENS,,,,,,,,40.753939997619135,-73.88296968,"{'longitude': '-73.88296967711675', 'latitude': '40.753939997619135', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45049268,2019-12-01T01:50:38.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,11212,955 RUTLAND ROAD,RUTLAND ROAD,EAST   91 STREET,EAST   92 STREET,EAST   91 STREET,EAST   92 STREET,,BROOKLYN,RUTLAND ROAD,,In Progress,,,,17 BROOKLYN,3045940064,BROOKLYN,1004272,180377,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66174727511944,-73.92783302,"{'longitude': '-73.9278330176624', 'latitude': '40.66174727511944', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45049106,2019-12-01T01:50:04.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10467,115 EAST MOSHOLU PARKWAY NORTH,EAST MOSHOLU PARKWAY NORTH,KOSSUTH AVENUE,STEUBEN AVENUE,KOSSUTH AVENUE,STEUBEN AVENUE,,BRONX,EAST MOSHOLU PARKWAY NORTH,,In Progress,,,,07 BRONX,2033260001,BRONX,1016868,258955,MOBILE,Unspecified,BRONX,,,,,,,,40.877385676249666,-73.88205088,"{'longitude': '-73.88205087634928', 'latitude': '40.877385676249666', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45050551,2019-12-01T01:49:47.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10040,1 ARDEN STREET,ARDEN STREET,NAGLE AVENUE,SHERMAN AVENUE,NAGLE AVENUE,SHERMAN AVENUE,,NEW YORK,ARDEN STREET,,In Progress,,,,12 MANHATTAN,1021740077,MANHATTAN,1004530,253065,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.86125640378806,-73.9266838,"{'longitude': '-73.9266838048094', 'latitude': '40.86125640378806', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45049221,2019-12-01T01:49:39.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11237,1346 HANCOCK STREET,HANCOCK STREET,KNICKERBOCKER AVENUE,IRVING AVENUE,KNICKERBOCKER AVENUE,IRVING AVENUE,,BROOKLYN,HANCOCK STREET,,In Progress,,,,04 BROOKLYN,3033990021,BROOKLYN,1009519,192337,PHONE,Unspecified,BROOKLYN,,,,,,,,40.69456133221392,-73.90887598,"{'longitude': '-73.90887598146561', 'latitude': '40.69456133221392', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45052954,2019-12-01T01:49:11.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10033,559 WEST  186 STREET,WEST  186 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,AUDUBON AVENUE,ST NICHOLAS AVENUE,,NEW YORK,WEST  186 STREET,,In Progress,,,,12 MANHATTAN,1021570095,MANHATTAN,1003436,249705,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.852036656932725,-73.93064845,"{'longitude': '-73.93064844557063', 'latitude': '40.852036656932725', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45053975,2019-12-01T01:48:45.000,2019-12-01T01:55:41.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10003,205 2 AVENUE,2 AVENUE,EAST   12 STREET,EAST   13 STREET,EAST   12 STREET,EAST   13 STREET,,NEW YORK,2 AVENUE,,Closed,,Your request can not be processed at this time because of insufficient contact information. Please c,2019-12-01T06:55:45.000,03 MANHATTAN,1004680035,MANHATTAN,988249,205782,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.731499823118334,-73.98557098,"{'longitude': '-73.98557098076117', 'latitude': '40.731499823118334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45050211,2019-12-01T01:48:31.000,2019-12-01T01:54:32.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10009,25 AVENUE B,AVENUE B,EAST    2 STREET,EAST    3 STREET,EAST    2 STREET,EAST    3 STREET,,NEW YORK,AVENUE B,,Closed,,Your request can not be processed at this time because of insufficient contact information. Please c,2019-12-01T06:54:35.000,03 MANHATTAN,1003850004,MANHATTAN,988903,202436,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.722315548012524,-73.98321356,"{'longitude': '-73.98321355978932', 'latitude': '40.722315548012524', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45051273,2019-12-01T01:48:28.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10453,5 BUCHANAN PLACE,BUCHANAN PLACE,JEROME AVENUE,DAVIDSON AVENUE,JEROME AVENUE,DAVIDSON AVENUE,,BRONX,BUCHANAN PLACE,,In Progress,,,,05 BRONX,2031960086,BRONX,1010654,251814,ONLINE,Unspecified,BRONX,,,,,,,,40.85780659436769,-73.90454928,"{'longitude': '-73.90454928194752', 'latitude': '40.85780659436769', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45050009,2019-12-01T01:48:20.000,2019-12-01T01:54:57.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10003,125 EAST   11 STREET,EAST   11 STREET,4 AVENUE,3 AVENUE,4 AVENUE,3 AVENUE,,NEW YORK,EAST   11 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2019-12-01T06:55:00.000,03 MANHATTAN,1005560068,MANHATTAN,987107,205887,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.73178846496097,-73.98969145,"{'longitude': '-73.9896914512527', 'latitude': '40.73178846496097', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45052819,2019-12-01T01:47:49.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11218,30 WESTMINSTER ROAD,WESTMINSTER ROAD,CATON AVENUE,CHURCH AVENUE,CATON AVENUE,CHURCH AVENUE,,BROOKLYN,WESTMINSTER ROAD,,In Progress,,,,14 BROOKLYN,3050720017,BROOKLYN,992949,175528,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.64845619600287,-73.96865171,"{'longitude': '-73.96865170997522', 'latitude': '40.64845619600287', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45050389,2019-12-01T01:47:05.000,,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10458,2395 BELMONT AVENUE,BELMONT AVENUE,EAST  186 STREET,EAST  187 STREET,EAST  186 STREET,EAST  187 STREET,,BRONX,BELMONT AVENUE,,In Progress,,,,06 BRONX,2030740028,BRONX,1015687,250681,PHONE,Unspecified,BRONX,,,,,,,,40.85468036341181,-73.88636027,"{'longitude': '-73.88636027001836', 'latitude': '40.85468036341181', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45051452,2019-12-01T01:46:36.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11219,1465 61 STREET,61 STREET,NEW UTRECHT AVENUE,15 AVENUE,NEW UTRECHT AVENUE,15 AVENUE,,BROOKLYN,61 STREET,,In Progress,,,,12 BROOKLYN,3057200054,BROOKLYN,985518,167355,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.62602724,-73.99543209,"{'longitude': '-73.99543208726179', 'latitude': '40.626027235388', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45049220,2019-12-01T01:46:24.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11219,1465 61 STREET,61 STREET,NEW UTRECHT AVENUE,15 AVENUE,NEW UTRECHT AVENUE,15 AVENUE,,BROOKLYN,61 STREET,,In Progress,,,,12 BROOKLYN,3057200054,BROOKLYN,985518,167355,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.62602724,-73.99543209,"{'longitude': '-73.99543208726179', 'latitude': '40.626027235388', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45052027,2019-12-01T01:45:53.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11226,20 ST PAULS COURT,ST PAULS COURT,ST PAULS PLACE,OCEAN AVENUE,ST PAULS PLACE,OCEAN AVENUE,,BROOKLYN,ST PAULS COURT,,In Progress,,,,14 BROOKLYN,3050800054,BROOKLYN,994811,176392,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65082566356036,-73.96194033,"{'longitude': '-73.96194033196448', 'latitude': '40.65082566356036', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45053492,2019-12-01T01:44:59.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10451,2980 PARK AVENUE,PARK AVENUE,EAST  153 STREET,EAST  155 STREET,EAST  153 STREET,EAST  155 STREET,,BRONX,PARK AVENUE,,In Progress,,,,01 BRONX,2024417501,BRONX,1005745,238299,PHONE,Unspecified,BRONX,,,,,,,,40.82072518171122,-73.92233867,"{'longitude': '-73.92233866971165', 'latitude': '40.82072518171122', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45050655,2019-12-01T01:44:54.000,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10454,350 EAST  143 STREET,EAST  143 STREET,ALEXANDER AVENUE,WILLIS AVENUE,ALEXANDER AVENUE,WILLIS AVENUE,,BRONX,EAST  143 STREET,,In Progress,,,,01 BRONX,2023040001,BRONX,1005803,235447,PHONE,Unspecified,BRONX,,,,,,,,40.812897103451725,-73.92213828,"{'longitude': '-73.92213827515442', 'latitude': '40.812897103451725', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45053638,2019-12-01T01:44:33.000,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11226,LOTT STREET,LOTT STREET,LOTT STREET,SNYDER AVENUE,LOTT STREET,SNYDER AVENUE,,,,,In Progress,,,,17 BROOKLYN,,BROOKLYN,996991,175626,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.64872029197937,-73.95408551,"{'longitude': '-73.95408550937447', 'latitude': '40.64872029197937', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45049065,2019-12-01T01:43:51.000,,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11206,23 NOSTRAND AVENUE,NOSTRAND AVENUE,FLUSHING AVENUE,PARK AVENUE,FLUSHING AVENUE,PARK AVENUE,,BROOKLYN,NOSTRAND AVENUE,,In Progress,,,,03 BROOKLYN,3017190001,BROOKLYN,997187,194066,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.699333653578165,-73.95334379,"{'longitude': '-73.95334379445251', 'latitude': '40.699333653578165', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45053003,2019-12-01T01:43:37.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10029,205 EAST  112 STREET,EAST  112 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,,NEW YORK,EAST  112 STREET,,In Progress,,,,11 MANHATTAN,1016620001,MANHATTAN,1000402,229042,PHONE,Unspecified,MANHATTAN,,,,,,,,40.79532866856536,-73.94166517,"{'longitude': '-73.94166516884654', 'latitude': '40.79532866856536', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
45050338,2019-12-01T01:43:34.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10031,603 WEST  140 STREET,WEST  140 STREET,BROADWAY,RIVERSIDE DRIVE,BROADWAY,RIVERSIDE DRIVE,,NEW YORK,WEST  140 STREET,,In Progress,,,,09 MANHATTAN,1020880027,MANHATTAN,997208,239285,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.82344812097671,-73.9531809,"{'longitude': '-73.95318089727137', 'latitude': '40.82344812097671', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,Noise
